iter	Logloss
273	0.1521679245
274	0.1521626448
275	0.1521595656
276	0.1521562225
277	0.1521538213
278	0.1521512722
279	0.1521483773
280	0.1521483354
281	0.1521482916
282	0.1521452068
283	0.1521448258
284	0.1521406969
285	0.1521397414
286	0.1521360104
287	0.1521329228
288	0.1521305087
289	0.1521288551
290	0.1521244311
291	0.1521230196
292	0.1521186732
293	0.1521146168
294	0.1521114705
295	0.1521075099
296	0.1521043866
297	0.1521004645
298	0.1520963497
299	0.1520936964
300	0.1520934972
301	0.152090115
302	0.1520866889
303	0.1520838548
304	0.1520838254
305	0.1520810073
306	0.1520759668
307	0.1520737643
308	0.1520716993
309	0.1520689681
310	0.1520668471
311	0.1520656631
312	0.1520619454
313	0.152058955
314	0.152054209
315	0.1520507098
316	0.1520482161
317	0.1520443346
318	0.1520425601
319	0.1520399044
320	0.1520372833
321	0.1520331424
322	0.1520296498
323	0.1520279202
324	0.1520247594
325	0.1520216863
326	0.1520194044
327	0.1520154231
328	0.1520126862
329	0.1520113204
330	0.1520082689
331	0.1520048162
332	0.1520002868
333	0.1519985557
334	0.1519963859
335	0.1519962808
336	0.1519962541
337	0.1519947657
338	0.1519919075
339	0.151988985
340	0.1519889196
341	0.1519850564
342	0.1519814341
343	0.151978794
344	0.1519752856
345	0.1519708078
346	0.1519693985
347	0.1519645734
348	0.1519631482
349	0.1519605274
350	0.1519565481
351	0.1519537076
352	0.151952006
353	0.1519474208
354	0.1519443413
355	0.1519412147
356	0.151937218
357	0.1519346335
358	0.1519300997
359	0.1519266095
360	0.1519261552
361	0.1519260998
362	0.1519233507
363	0.1519192262
364	0.151917114
365	0.1519145826
366	0.1519132389
367	0.1519090861
368	0.1519074472
369	0.151904974
370	0.1519011957
371	0.1518983271
372	0.1518939715
373	0.1518938156
374	0.1518909317
375	0.1518878604
376	0.1518862024
377	0.1518836672
378	0.1518806779
379	0.1518805879
380	0.1518797964
381	0.1518769348
382	0.1518734743
383	0.1518715465
384	0.1518676307
385	0.1518636167
386	0.1518610707
387	0.1518582872
388	0.1518555948
389	0.1518536043
390	0.1518499063
391	0.1518468092
392	0.1518443759
393	0.15184341
394	0.1518421946
395	0.1518395837
396	0.1518379578
397	0.1518343968
398	0.1518315574
399	0.151827813
400	0.1518256557
401	0.1518223189
402	0.151820467
403	0.1518168609
404	0.1518146123
405	0.151813985
406	0.1518120279
407	0.1518100623
408	0.1518087719
409	0.1518072681
410	0.1518052618
411	0.1518045354
412	0.1518032567
413	0.1518000528
414	0.1517961011
415	0.151793527
416	0.1517906316
417	0.1517894068
418	0.1517876131
419	0.1517857707
420	0.1517831608
421	0.1517820643
422	0.1517788036
423	0.1517758329
424	0.151775783
425	0.1517744969
426	0.1517722567
427	0.1517702816
428	0.1517659652
429	0.151762281
430	0.1517600273
431	0.1517569657
432	0.1517554006
433	0.1517520341
434	0.1517501789
435	0.1517486618
436	0.1517453223
437	0.1517447299
438	0.1517400777
439	0.1517381688
440	0.1517341067
441	0.151731043
442	0.1517279753
443	0.1517254484
444	0.1517222846
445	0.1517200002
446	0.151719995
447	0.1517176954
448	0.151715266
449	0.1517150985
450	0.1517106473
451	0.1517071112
452	0.1517059066
453	0.1517049136
454	0.1517019689
455	0.1517019509
456	0.1516986575
457	0.1516968307
458	0.1516943177
459	0.151694274
460	0.1516899761
461	0.1516860331
462	0.1516834666
463	0.1516810751
464	0.1516786904
465	0.1516786862
466	0.1516758537
467	0.1516747908
468	0.1516712959
469	0.1516695049
470	0.151669367
471	0.1516688003
472	0.1516672945
473	0.151665577
474	0.1516638748
475	0.1516618342
476	0.1516608793
477	0.1516608416
478	0.1516598305
479	0.1516581297
480	0.1516549881
481	0.1516549816
482	0.1516549786
483	0.1516514072
484	0.1516473736
485	0.1516446867
486	0.1516429843
487	0.1516412288
488	0.1516386487
489	0.1516366745
490	0.1516340404
491	0.1516325952
492	0.1516303393
493	0.1516282465
494	0.151626702
495	0.1516256643
496	0.1516242647
497	0.1516242316
498	0.1516241873
499	0.1516212425
